RENDICION DE BSP																								
JAZZ																								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
COMPAÑIA	AA																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
65778     USD	1403-428662-6	7/1/2025	        236.00		        343.70		      107.70				        343.70				        343.70									
65778     USD	1403-428663-0	7/1/2025	        236.00		        343.70		      107.70				        343.70				        343.70									
65777     PES	1403-428664-1	7/1/2025			      16000.00		    16000.00				      16000.00				      16000.00									
65793     PES	1403-428666-3	7/1/2025	     441575.00		     467410.90		    25835.90				     467410.90				     467410.90									
65793     PES	1403-428667-4	7/1/2025	     441575.00		     467410.90		    25835.90				     467410.90				     467410.90									
65806     PES	1403-428673-3	8/1/2025	      17944.00		      79333.10		    61389.10				      79333.10				      79333.10	NRZT/BUE74								
65831     PES	1403-428674-4	8/1/2025	     138685.00		         -0.00	     174460.70	    35775.70		    15217.21		         -0.00				         -0.00		CA000000000000365							
65831     PES	1403-428675-5	8/1/2025	     109074.00			     140268.20	    31194.20		    11968.14								CA000000000000365							
65821     PES	1403-428681-4	8/1/2025	      67811.00		      85461.95		    17650.95		     7440.56		      85461.95				      85461.95									
65821     PES	1403-428682-5	8/1/2025	      67811.00		      85461.95		    17650.95		     7440.56		      85461.95				      85461.95									
65825     PES	1403-428683-6	8/1/2025																						
65824     USD	1403-428686-2	8/1/2025	        596.00		        723.50		      127.50				        723.50				        723.50									
65824     USD	1403-428687-3	8/1/2025	        596.00		        723.50		      127.50				        723.50				        723.50									
65825     PES	1403-428688-4	8/1/2025	     198074.00		     243038.70		    44964.70		    21733.67		     243038.70				     243038.70									
65867     PES	1403-428695-4	9/1/2025	     264307.00		     319519.50		    55212.50		    29001.08		     319519.50				     319519.50									
65867     PES	1403-428696-5	9/1/2025	     264307.00		     319519.50		    55212.50		    29001.08		     319519.50				     319519.50									
65867     PES	1403-428697-6	9/1/2025	     237876.00		     288999.10		    51123.10		    26100.94		     288999.10				     288999.10									
65867     PES	1403-428698-0	9/1/2025	     237876.00		     288999.10		    51123.10		    26100.94		     288999.10				     288999.10									
65884     PES	1403-428744-4	9/1/2025	     142402.00		     171594.05		    29192.05		    15625.06		     171594.05				     171594.05									
65888     USD	1403-428745-5	9/1/2025	        918.00		       1160.97		      242.97				       1160.97		  5.00	       45.90	       1115.07	NRZT/BUE74								
65888     USD	1403-428746-6	9/1/2025	        918.00		       1160.97		      242.97				       1160.97		  5.00	       45.90	       1115.07	NRZT/BUE74								
65653     PES	1403-431955-2	2/1/2025	      64851.00		      89202.80		    24351.80		     7115.78		      89202.80				      89202.80									
65654     PES	1403-431956-3	2/1/2025	     125866.00		      74408.30	      85250.00	    33792.30		    13810.65		      74408.30				      74408.30		VI000000000000577							
65654     PES	1403-431957-4	2/1/2025	     125866.00		      74408.30	      85250.00	    33792.30		    13810.65		      74408.30				      74408.30		VI000000000000577							
65686     USD	1403-431958-5	3/1/2025	        821.00		        969.60		      148.60				        969.60				        969.60									
65686     USD	1403-431959-6	3/1/2025	        821.00		        969.60		      148.60				        969.60				        969.60									
65691     USD	1403-431960-0	3/1/2025	        762.00		        901.70		      139.70				        901.70		  5.00	       38.10	        863.60	NRZT/BUE74								
65691     USD	1403-431961-1	3/1/2025	        762.00		        901.70		      139.70				        901.70		  5.00	       38.10	        863.60	NRZT/BUE74								
65691     USD	1403-431962-2	3/1/2025	        762.00		        901.70		      139.70				        901.70		  5.00	       38.10	        863.60	NRZT/BUE74								
65691     USD	1403-431963-3	3/1/2025	        762.00		        901.70		      139.70				        901.70		  5.00	       38.10	        863.60	NRZT/BUE74								
65677     PES	1403-431967-0	3/1/2025	     111883.00			     143511.70	    31628.70		    12276.36								TN589562877444539							
65677     PES	1403-431968-1	3/1/2025	     111883.00			     143511.70	    31628.70		    12276.36								TN589562877444539							
65677     PES	1403-431969-2	3/1/2025	     120020.00		          0.01	     152907.79	    32887.80		    13169.19		          0.01				          0.01		TN589562877444539							
65677     PES	1403-431970-3	3/1/2025	     120020.00		          0.01	     152907.79	    32887.80		    13169.19		          0.01				          0.01		TN589562877444539							
65668     PES	1403-431975-1	3/1/2025	     176364.00		     224378.97		    48014.97		    19351.54		     224378.97				     224378.97									
65668     PES	1403-431976-2	3/1/2025	     176364.00		     224378.97		    48014.97		    19351.54		     224378.97				     224378.97									
65675     PES	1403-431977-3	3/1/2025	     255747.00			     309635.14	    53888.14		    28061.84								VI000000000000076							
65678     PES	1403-431980-6	3/1/2025	     193146.00		     237348.20		    44202.20		    21192.95		     237348.20				     237348.20									
65678     PES	1403-431981-0	3/1/2025	     193146.00		     237348.20		    44202.20		    21192.95		     237348.20				     237348.20									
65708     PES	1403-431999-4	3/1/2025	     436517.00			     518634.83	    82117.83		    47896.83								VI000000000000076							
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
65747     PES	1403-432001-6	6/1/2025	     418855.00		     494670.75		    75815.75		    45958.87		     494670.75				     494670.75									
65733     PES	1403-432010-1	6/1/2025	      67085.00		      84623.55		    17538.55		     7360.90		      84623.55				      84623.55									
65750     USD	1403-432019-3	6/1/2025	        738.00		        878.80		      140.80				        878.80		  5.00	       36.90	        841.90	NRZT/BUE74								
65750     USD	1403-432020-4	6/1/2025	        738.00		        878.80		      140.80				        878.80		  5.00	       36.90	        841.90	NRZT/BUE74								
63562     USD	1403-432027-4	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63562     USD	1403-432028-5	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63562     USD	1403-432029-6	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63562     USD	1403-432030-0	7/1/2025	        338.00		        447.40		      109.40				        447.40				        447.40									
64184     USD	1403-432031-1	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
64184     USD	1403-432032-2	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63303     USD	1403-432033-3	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63303     USD	1403-432034-4	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63039     USD	1403-432035-5	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
63039     USD	1403-432036-6	7/1/2025	        450.00		        567.20		      117.20				        567.20				        567.20									
65794     USD	1403-432041-4	7/1/2025	        523.00		        645.50		      122.50				        645.50		  5.00	       26.15	        619.35									
65794     USD	1403-432042-5	7/1/2025	        523.00		        645.50		      122.50				        645.50		  5.00	       26.15	        619.35									
65804     PES	1403-432043-6	7/1/2025	     347241.00		     155285.50	     260000.00	    68044.50		    38101.01		     155285.50				     155285.50		VI000000000000877							
65804     PES	1403-432044-0	7/1/2025	     347241.00		     415285.50		    68044.50		    38101.01		     415285.50				     415285.50									
65830     USD	1403-432046-2	8/1/2025	        994.00		       1245.98		      251.98				       1245.98		  5.00	       49.70	       1196.28	NRZT/BUE74								
65858     USD	1403-474565-3	8/1/2025	        520.00		        645.70		      125.70				        645.70		  5.00	       26.00	        619.70									
65858     USD	1403-474566-4	8/1/2025	        554.00		        682.10		      128.10				        682.10		  5.00	       27.70	        654.40									
65893     PES	1403-474568-6	9/1/2025	     401195.00			     470688.75	    69493.75		    44021.12								TN589562486386315							
65892     PES	1403-474570-1	9/1/2025	     304157.00		     365535.40		    61378.40		    33373.63		     365535.40				     365535.40									
65882     USD	1403-474571-2	9/1/2025	        930.00		       1407.90		      477.90				       1407.90				       1407.90	CORG131278								
65890     PES	1403-474572-3	9/1/2025	      76402.00		      95382.15		    18980.15		     8383.21		      95382.15				      95382.15									
65899     PES	1403-474576-0	9/1/2025	      53048.00			      68414.75	    15366.75		     5820.70								VI000000000000076							
65899     PES	1403-474577-1	9/1/2025	      67085.00		         -0.00	      84623.55	    17538.55		     7360.90		         -0.00				         -0.00		VI000000000000076							
65900     PES	1403-474578-2	9/1/2025	     204757.00			     243596.95	    38839.95		    22466.97								TN589562808662375							
65900     PES	1403-474579-3	9/1/2025	     204757.00			     243596.95	    38839.95		    22466.97								TN589562808662375							
65950     PES	1403-474603-6	10/1/2025	     365722.00			     591584.00	   116145.40	   109716.60					  5.00	    18286.10	     -18286.10		VI000000000000076							
65950     PES	1403-474604-0	10/1/2025	     365722.00			     591584.00	   116145.40	   109716.60					  5.00	    18286.10	     -18286.10		VI000000000000076							
65950     PES	1403-474605-1	10/1/2025	     365722.00			     591584.00	   116145.40	   109716.60					  5.00	    18286.10	     -18286.10		VI000000000000076							
65962     USD	1403-474609-5	10/1/2025	        854.00		       1096.38		      242.38				       1096.38		  5.00	       42.70	       1053.68	NRZT/BUE74								
